# z      distance_modulus     err
    0.010120    33.295661     0.198250
    0.010380    32.937044     0.204800
    0.010430    33.225539     0.200350
    0.010820    33.413192     0.184450
    0.012090    33.790744     0.191400
    0.012200    33.744436     0.173700
    0.012260    33.775428     0.177650
    0.012680    33.731801     0.171000
    0.012710    33.833163     0.174900
    0.012910    33.617766     0.171600
    0.013180    33.511396     0.172850
    0.013820    33.927390     0.153850
    0.014020    33.949014     0.161950
    0.014470    34.224656     0.165550
    0.014510    34.070998     0.167650
    0.014540    33.990276     0.165600
    0.014720    34.113123     0.149050
    0.015040    34.292745     0.149100
    0.015060    34.492920     0.154450
    0.015200    34.342607     0.163500
    0.015300    34.110677     0.145600
    0.015310    34.078572     0.152600
    0.015310    33.788386     0.161300
    0.015320    34.262243     0.164050
    0.015670    34.241891     0.154050
    0.015680    34.203517     0.152500
    0.015720    34.246928     0.193900
    0.016290    34.008133     0.151150
    0.016350    34.248796     0.151800
    0.016620    34.386395     0.147050
    0.016630    34.313363     0.150250
    0.016780    34.656212     0.159250
    0.016970    34.239509     0.153100
    0.016980    34.054873     0.155800
    0.017050    34.442162     0.183200
    0.017240    34.350754     0.155600
    0.017260    34.693500     0.151100
    0.017320    34.288205     0.158700
    0.017400    34.812266     0.148500
    0.017410    34.655886     0.149800
    0.017520    34.581786     0.146500
    0.017540    34.777049     0.134100
    0.017630    34.506833     0.156200
    0.019080    34.641383     0.141150
    0.019700    34.472348     0.157800
    0.019720    34.835563     0.157850
    0.020200    34.773270     0.151650
    0.020240    34.710630     0.127350
    0.020310    34.681979     0.135300
    0.020380    34.621596     0.141850
    0.020400    34.611008     0.156000
    0.020910    34.753774     0.136800
    0.021200    35.156426     0.143700
    0.021710    35.053616     0.136150
    0.021890    34.836278     0.138100
    0.021970    35.206575     0.143600
    0.022100    35.081323     0.136950
    0.022230    35.099564     0.132050
    0.022490    35.127416     0.139100
    0.022750    35.143022     0.136250
    0.023480    35.075572     0.138950
    0.023490    34.928731     0.133800
    0.023840    35.199400     0.133500
    0.023980    35.089440     0.135250
    0.024010    35.131806     0.126350
    0.024140    34.940874     0.129100
    0.024540    35.313216     0.127800
    0.024770    35.375466     0.171800
    0.024820    35.522477     0.134850
    0.025250    35.346979     0.132950
    0.025290    35.070215     0.140500
    0.025470    35.386540     0.124200
    0.025570    35.120078     0.149600
    0.025590    35.335313     0.125900
    0.025800    35.312661     0.137600
    0.026270    35.332264     0.136200
    0.026390    35.566991     0.139900
    0.026430    35.114714     0.142500
    0.026510    35.373114     0.124800
    0.026730    35.645193     0.161650
    0.026890    35.472082     0.126000
    0.027510    35.437380     0.129100
    0.027520    35.475912     0.134100
    0.027520    35.475534     0.142550
    0.027630    35.455266     0.117900
    0.028110    35.406928     0.124850
    0.028370    35.527513     0.121550
    0.028450    35.536312     0.136400
    0.028460    35.517719     0.134050
    0.028780    35.469291     0.121550
    0.028800    35.356296     0.136050
    0.028940    35.455764     0.131600
    0.029320    35.745331     0.145700
    0.029500    35.487234     0.127350
    0.029900    35.354103     0.123000
    0.030010    35.709058     0.120250
    0.030480    35.764584     0.134200
    0.030490    35.661984     0.141900
    0.030550    35.537658     0.450850
    0.031440    35.730326     0.120750
    0.031550    35.961417     0.141150
    0.031610    35.598955     0.126250
    0.031630    35.808995     0.119450
    0.031840    36.004997     0.121250
    0.031910    35.943789     0.127750
    0.032120    35.588654     0.143100
    0.032200    35.736129     0.128900
    0.032730    35.855734     0.120500
    0.032800    35.617316     0.125250
    0.032920    35.887672     0.118500
    0.033140    35.844339     0.122150
    0.033480    35.811670     0.152350
    0.033590    36.035130     0.106100
    0.033780    35.619677     0.140300
    0.033990    35.819794     0.111050
    0.034080    35.966944     0.124550
    0.034110    36.017725     0.114800
    0.034160    35.803364     0.156300
    0.034260    36.059037     0.120250
    0.034340    35.993125     0.124900
    0.034380    35.838320     0.121050
    0.034890    36.141203     0.166700
    0.035010    36.044949     0.124850
    0.035070    36.155635     0.167850
    0.035180    36.129967     0.152350
    0.035780    36.088485     0.176100
    0.036820    36.303219     0.126550
    0.037000    36.005327     0.127250
    0.037130    35.886966     0.117700
    0.037300    35.996558     0.115050
    0.037430    36.325782     0.116600
    0.037910    36.295838     0.200100
    0.038000    35.983561     0.131850
    0.038270    36.251165     0.120100
    0.038370    36.114369     0.165550
    0.038630    36.146133     0.127500
    0.039840    36.257838     0.114600
    0.040280    36.335133     0.113350
    0.040670    36.460013     0.112700
    0.040930    36.414670     0.129700
    0.040930    36.460444     0.116650
    0.041500    36.283499     0.125900
    0.042690    36.356927     0.117000
    0.043100    36.653497     0.106850
    0.043410    36.360551     0.120900
    0.044370    36.498827     0.119950
    0.044370    36.275209     0.198050
    0.044860    36.899728     0.147950
    0.045820    36.773136     0.124300
    0.045970    36.666552     0.102500
    0.046510    36.633125     0.116250
    0.047100    36.659483     0.144650
    0.047130    36.634283     0.115100
    0.047140    36.696166     0.123150
    0.048190    36.813262     0.121750
    0.049490    36.750373     0.125450
    0.049760    36.880145     0.135250
    0.050350    36.713524     0.163350
    0.050670    36.877643     0.158000
    0.050920    36.989386     0.122400
    0.053220    36.846017     0.128050
    0.053440    36.935316     0.139800
    0.053590    37.099653     0.143900
    0.054180    36.850146     0.113850
    0.054580    36.881645     0.101800
    0.054950    36.971157     0.116500
    0.055730    36.922727     0.109150
    0.055810    37.402671     0.122850
    0.056840    37.181284     0.120300
    0.057150    36.996750     0.107200
    0.057210    37.276195     0.109400
    0.058900    37.332599     0.113950
    0.058950    37.121289     0.100450
    0.059480    37.184393     0.126250
    0.061190    37.400060     0.119050
    0.064410    37.365857     0.108500
    0.064550    37.229255     0.113600
