# z      luminosity_distance
    0.010120    45.617581
    0.010380    38.673085
    0.010430    44.168009
    0.010820    48.154660
    0.012090    57.299244
    0.012200    56.090238
    0.012260    56.896496
    0.012680    55.764812
    0.012710    58.429564
    0.012910    52.911876
    0.013180    50.382432
    0.013820    61.020818
    0.014020    61.631517
    0.014470    69.973111
    0.014510    65.192804
    0.014540    62.813830
    0.014720    66.469826
    0.015040    72.201975
    0.015060    79.174269
    0.015200    73.879068
    0.015300    66.395015
    0.015310    65.420581
    0.015310    57.237051
    0.015320    71.194837
    0.015670    70.530711
    0.015680    69.295251
    0.015720    70.694500
    0.016290    63.332493
    0.016350    70.755348
    0.016620    75.383978
    0.016630    72.890791
    0.016780    85.357643
    0.016970    70.453370
    0.016980    64.710482
    0.017050    77.345030
    0.017240    74.156777
    0.017260    86.836031
    0.017320    72.051177
    0.017400    91.717719
    0.017410    85.344808
    0.017520    82.481641
    0.017540    90.242236
    0.017630    79.683182
    0.019080    84.776725
    0.019700    78.427733
    0.019720    92.707018
    0.020200    90.085301
    0.020240    87.523777
    0.020310    86.376548
    0.020380    84.007718
    0.020400    83.599107
    0.020910    89.280131
    0.021200   107.469488
    0.021710   102.499834
    0.021890    92.737556
    0.021970   109.980312
    0.022100   103.816075
    0.022230   104.691854
    0.022490   106.043308
    0.022750   106.808170
    0.023480   103.541511
    0.023490    96.771213
    0.023840   109.617542
    0.023980   104.204883
    0.024010   106.257910
    0.024140    97.313874
    0.024540   115.516278
    0.024770   118.875728
    0.024820   127.202410
    0.025250   117.326423
    0.025290   103.286371
    0.025470   119.483492
    0.025570   105.685532
    0.025590   116.697805
    0.025800   115.486752
    0.026270   116.534024
    0.026390   129.836900
    0.026430   105.424798
    0.026510   118.747038
    0.026730   134.597999
    0.026890   124.284323
    0.027510   122.313954
    0.027520   124.503764
    0.027520   124.482044
    0.027630   123.325562
    0.028110   120.610644
    0.028370   127.497787
    0.028450   128.015470
    0.028460   126.923991
    0.028780   124.124701
    0.028800   117.830890
    0.028940   123.353862
    0.029320   140.950379
    0.029500   125.154607
    0.029900   117.711965
    0.030010   138.615429
    0.030480   142.205623
    0.030490   135.642823
    0.030550   128.094808
    0.031440   139.979776
    0.031550   155.698106
    0.031610   131.762248
    0.031630   145.143995
    0.031840   158.854479
    0.031910   154.439307
    0.032120   131.138697
    0.032200   140.354293
    0.032730   148.301900
    0.032800   132.881089
    0.032920   150.499294
    0.033140   147.525751
    0.033480   145.322913
    0.033590   161.074212
    0.033780   133.025661
    0.033990   145.867567
    0.034080   156.094918
    0.034110   159.788300
    0.034160   144.768068
    0.034260   162.857332
    0.034340   157.988301
    0.034380   147.117384
    0.034890   169.137801
    0.035010   161.804181
    0.035070   170.265605
    0.035180   168.264871
    0.035780   165.080964
    0.036820   182.240035
    0.037000   158.878610
    0.037130   150.450363
    0.037300   158.238273
    0.037430   184.143515
    0.037910   181.621632
    0.038000   157.294023
    0.038270   177.923366
    0.038370   167.060481
    0.038630   169.522247
    0.039840   178.470946
    0.040280   184.938196
    0.040670   195.885666
    0.040930   191.837741
    0.040930   195.924552
    0.041500   180.592541
    0.042690   186.803703
    0.043100   214.140824
