# Ell      ell*(ell+1)C_l/(2\pi)     err
    30    -0.212674     0.083000
    31     0.091087     0.082000
    32     0.023267     0.082000
    33     0.006807     0.082000
    34    -0.050823     0.082000
    35     0.083688     0.083000
    36    -0.022657     0.083000
    37     0.235243     0.084000
    38     0.116780     0.084000
    39     0.019119     0.085000
    40     0.015730     0.086000
    41     0.123716     0.087000
    42     0.038539     0.088000
    43    -0.006286     0.089000
    44    -0.200280     0.090000
    45     0.160247     0.091000
    46    -0.067286     0.093000
    47     0.133492     0.094000
    48     0.096149     0.096000
    49     0.107179     0.097000
    50     0.028228     0.099000
    51     0.120462     0.101000
    52     0.304301     0.102000
    53     0.145204     0.104000
    54     0.180861     0.106000
    55     0.293537     0.108000
    56     0.049359     0.110000
    57     0.207975     0.112000
    58     0.112567     0.114000
    59     0.265599     0.116000
    60     0.133659     0.118000
    61     0.131830     0.121000
    62     0.069915     0.123000
    63     0.300733     0.125000
    64     0.225752     0.128000
    65     0.329103     0.130000
    66     0.019858     0.132000
    67     0.435956     0.135000
    68     0.122002     0.137000
    69     0.636946     0.140000
    70     0.450774     0.142000
    71     0.540291     0.145000
    72     0.265070     0.148000
    73     0.403380     0.150000
    74     0.694108     0.153000
    75     0.436955     0.156000
    76     0.414483     0.158000
    77     0.636484     0.161000
    78     0.183186     0.164000
    79     0.493216     0.167000
    80     0.441058     0.169000
    81     0.458583     0.172000
    82     0.552816     0.175000
    83     0.610162     0.178000
    84     0.424215     0.181000
    85     0.330924     0.183000
    86     0.580516     0.186000
    87     0.445275     0.189000
    88     0.302466     0.192000
    89     0.315647     0.195000
    90     0.753890     0.197000
    91     0.240812     0.200000
    92     0.823628     0.203000
    93     0.794714     0.206000
    94     0.883727     0.209000
    95     0.818001     0.211000
    96     0.413401     0.214000
    97     1.007890     0.217000
    98     0.795308     0.220000
    99     0.037076     0.222000
   100     0.282262     0.225000
   101     0.720733     0.228000
   102     0.663498     0.230000
   103     1.087873     0.233000
   104     0.978956     0.235000
   105     0.717165     0.238000
   106     1.016595     0.240000
   107     0.604852     0.243000
   108     0.315494     0.245000
   109     0.713604     0.248000
   110     0.716167     0.250000
   111     1.153533     0.252000
   112     0.857964     0.255000
   113     0.818206     0.257000
   114     0.605486     0.259000
   115     0.949697     0.261000
   116     1.090729     0.263000
   117     1.097556     0.266000
   118     1.189417     0.268000
   119     1.023046     0.270000
   120     1.005806     0.272000
   121     0.657668     0.274000
   122     1.655456     0.275000
   123     1.003187     0.277000
   124     1.136961     0.279000
   125     0.775753     0.281000
   126     1.146543     0.283000
   127     0.807794     0.284000
   128     1.896140     0.286000
   129     1.207114     0.288000
   130     1.704478     0.289000
   131     0.983076     0.291000
   132     1.283358     0.292000
   133     1.112346     0.293000
   134     1.151694     0.295000
   135     1.219237     0.296000
   136     0.660738     0.297000
   137     0.895412     0.299000
   138     1.179682     0.300000
   139     1.313834     0.301000
   140     1.022708     0.302000
   141     0.835426     0.303000
   142     1.150748     0.304000
   143     1.298504     0.305000
   144     1.815918     0.306000
   145     1.118569     0.307000
   146     0.515763     0.308000
   147     1.670388     0.309000
   148     1.176860     0.310000
   149     1.164172     0.311000
   150     0.784907     0.311000
   151     1.087683     0.312000
   152     0.768662     0.313000
   153     0.880113     0.314000
   154     1.358738     0.314000
   155     1.110130     0.315000
   156     0.826056     0.315000
   157     0.419940     0.316000
   158     1.065224     0.317000
   159     1.096639     0.317000
   160     1.197455     0.318000
   161     0.988316     0.318000
   162     0.524875     0.319000
   163     1.629537     0.320000
   164     0.878752     0.320000
   165     0.548499     0.321000
   166     0.664028     0.321000
   167     0.719876     0.322000
   168     0.984273     0.322000
   169     1.660165     0.323000
   170     1.048528     0.323000
   171     0.504810     0.324000
   172     0.987812     0.324000
   173     1.430421     0.325000
   174     1.276158     0.326000
   175     1.061176     0.326000
   176     0.524290     0.327000
   177     0.704684     0.328000
   178     1.040976     0.328000
   179     0.886499     0.329000
   180     1.564264     0.330000
   181     0.753410     0.330000
   182     1.167164     0.331000
   183     0.655545     0.332000
   184     0.857313     0.333000
   185     0.862555     0.334000
   186     1.283795     0.335000
   187     0.418252     0.336000
   188     0.391219     0.337000
   189     0.580484     0.338000
   190     0.666145     0.339000
   191     0.166879     0.340000
   192     0.100467     0.342000
   193     0.511126     0.343000
   194    -0.006864     0.344000
   195     0.452966     0.346000
   196     1.451316     0.347000
   197     0.609769     0.349000
   198     0.761956     0.351000
   199     0.402770     0.353000
   200     0.785648     0.354000
   201     0.270841     0.356000
   202     1.232463     0.358000
   203    -0.025780     0.360000
   204     1.580602     0.362000
   205     0.079672     0.365000
   206     0.772470     0.367000
   207     0.924734     0.369000
   208     0.847063     0.372000
   209     0.455983     0.375000
   210     0.222870     0.377000
   211     0.672345     0.380000
   212     1.065786     0.383000
   213     0.331030     0.386000
   214     1.260800     0.389000
   215     1.338805     0.392000
   216     1.138645     0.396000
   217     0.767889     0.399000
   218     0.382326     0.403000
   219     1.111775     0.407000
   220     1.158380     0.410000
   221     0.455823     0.414000
   222     0.515757     0.418000
   223    -0.315921     0.423000
   224     0.914456     0.427000
   225     0.794438     0.431000
   226     0.875215     0.436000
   227     0.840080     0.441000
   228     1.110704     0.446000
   229     0.513553     0.451000
   230     0.139773     0.456000
   231     1.176568     0.461000
   232     1.018027     0.467000
   233     1.030480     0.472000
   234     1.339245     0.478000
   235     1.304882     0.484000
   236     1.682893     0.490000
   237     1.183713     0.496000
   238     1.004534     0.503000
   239     1.678388     0.509000
   240     1.943778     0.516000
   241     3.017145     0.523000
   242     0.976573     0.530000
   243     2.901423     0.537000
   244     3.130199     0.544000
   245     2.450316     0.552000
   246     1.222727     0.560000
   247     2.498432     0.567000
   248     1.427731     0.575000
   249     1.583899     0.584000
   250     2.093081     0.592000
   251     3.015231     0.601000
   252     3.022323     0.609000
   253     3.248567     0.618000
   254     2.860576     0.627000
   255     2.993726     0.637000
   256     3.451759     0.646000
   257     2.929037     0.656000
   258     2.468385     0.665000
   259     2.632125     0.675000
   260     4.162068     0.685000
   261     2.569012     0.696000
   262     5.082008     0.706000
   263     2.934360     0.717000
   264     3.286404     0.727000
   265     1.240891     0.738000
   266     4.336588     0.750000
   267     2.942692     0.761000
   268     4.356747     0.772000
   269     3.370078     0.784000
   270     4.563134     0.796000
   271     4.511338     0.808000
   272     4.450345     0.820000
   273     3.590722     0.832000
   274     4.517683     0.844000
   275     3.729034     0.857000
   276     5.799793     0.870000
   277     5.131149     0.882000
   278     5.901888     0.895000
   279     4.685125     0.908000
   280     7.883955     0.922000
   281     4.973599     0.935000
   282     4.108420     0.949000
   283     7.438723     0.962000
   284     8.239383     0.976000
   285     4.998203     0.990000
   286     6.494896     1.004000
   287     6.868344     1.018000
   288     6.484648     1.032000
   289     5.780819     1.047000
   290     5.924564     1.061000
   291     7.629162     1.076000
   292     7.553293     1.091000
   293     6.318976     1.105000
   294     8.543969     1.120000
   295     6.926374     1.135000
   296     9.138129     1.150000
   297     8.452348     1.165000
   298     8.435394     1.180000
   299     7.167199     1.196000
   300    10.517383     1.211000
   301     9.087439     1.226000
   302    10.494588     1.242000
   303     8.726830     1.257000
   304     9.680463     1.273000
   305     9.733216     1.289000
   306     8.584774     1.304000
   307     9.435925     1.320000
   308     9.752172     1.336000
   309     8.977700     1.351000
   310    11.823643     1.367000
   311    11.907791     1.383000
   312    10.293023     1.399000
   313    11.418829     1.414000
   314    10.565679     1.430000
   315    10.180476     1.446000
   316    11.475551     1.462000
   317    12.272958     1.477000
   318    12.453585     1.493000
   319    11.537448     1.509000
   320    10.674669     1.525000
   321    13.433997     1.540000
   322    13.202427     1.556000
   323    11.165891     1.571000
   324    11.737582     1.587000
   325    13.729072     1.602000
   326    13.979416     1.618000
   327    13.973345     1.633000
   328    13.738772     1.648000
   329    14.116950     1.664000
   330    10.816807     1.679000
   331    12.960978     1.694000
   332    13.751597     1.709000
   333    17.698763     1.724000
   334    15.222030     1.738000
   335    13.899668     1.753000
   336    15.315065     1.767000
   337    18.416064     1.782000
   338    17.107621     1.796000
   339    12.158511     1.810000
   340    16.188921     1.824000
   341    18.293760     1.838000
   342    13.427574     1.852000
   343    16.269329     1.866000
   344    20.428706     1.879000
   345    15.287689     1.893000
   346    16.448387     1.906000
   347    18.395020     1.919000
   348    18.823136     1.932000
   349    17.752831     1.944000
   350    15.179099     1.957000
   351    18.272773     1.969000
   352    18.390447     1.981000
   353    17.112898     1.993000
   354    18.581576     2.005000
   355    21.028522     2.017000
   356    18.338787     2.028000
   357    20.654056     2.039000
   358    19.505969     2.050000
   359    18.763645     2.061000
   360    20.803513     2.071000
   361    18.542209     2.082000
   362    18.202345     2.092000
   363    20.141762     2.102000
   364    16.577721     2.111000
   365    20.262074     2.121000
   366    22.567949     2.130000
   367    21.754031     2.139000
   368    20.877232     2.148000
   369    22.929385     2.156000
   370    20.429126     2.165000
   371    19.063393     2.173000
   372    18.550357     2.180000
   373    19.012740     2.188000
   374    19.074216     2.195000
   375    19.440825     2.202000
   376    22.669366     2.209000
   377    20.738594     2.216000
   378    19.600764     2.222000
   379    20.138772     2.228000
   380    18.514047     2.234000
   381    23.925085     2.239000
   382    20.601111     2.244000
   383    16.960300     2.249000
   384    23.700349     2.254000
   385    20.058173     2.259000
   386    19.802371     2.263000
   387    20.906827     2.267000
   388    19.145295     2.270000
   389    22.466903     2.274000
   390    20.134525     2.277000
   391    21.423972     2.280000
   392    18.304568     2.283000
   393    20.399221     2.285000
   394    21.306604     2.287000
   395    20.226845     2.289000
   396    22.356296     2.291000
   397    21.949378     2.292000
   398    24.103780     2.293000
   399    22.152518     2.294000
   400    19.384029     2.295000
   401    23.011408     2.295000
   402    16.897066     2.295000
   403    18.505572     2.295000
   404    20.289839     2.295000
   405    15.716074     2.294000
   406    22.095084     2.293000
   407    18.445222     2.292000
   408    17.762291     2.291000
   409    18.301006     2.289000
   410    21.072094     2.288000
   411    17.726197     2.286000
   412    22.134154     2.283000
   413    18.916940     2.281000
   414    20.192575     2.278000
   415    18.267464     2.275000
   416    18.098903     2.272000
   417    21.828357     2.269000
   418    17.736187     2.266000
   419    16.454430     2.262000
   420    14.903675     2.258000
   421    19.999081     2.254000
   422    20.179427     2.250000
   423    18.458317     2.246000
   424    21.249572     2.241000
   425    17.654511     2.236000
   426    22.181741     2.231000
   427    19.185037     2.226000
   428    21.936735     2.221000
   429    18.310870     2.216000
   430    15.106275     2.210000
   431    18.704875     2.205000
   432    20.156152     2.199000
   433    20.368040     2.193000
   434    14.279466     2.187000
   435    18.662031     2.181000
   436    18.113390     2.175000
   437    16.731156     2.168000
   438    18.083747     2.162000
   439    15.593127     2.155000
   440    19.304804     2.149000
   441    17.591155     2.142000
   442    16.834658     2.135000
   443    18.165749     2.129000
   444    15.052021     2.122000
   445    15.167830     2.115000
   446    18.302579     2.108000
   447    17.079974     2.101000
   448    17.486234     2.094000
   449    16.813300     2.086000
   450    15.460939     2.079000
   451    17.409221     2.072000
   452    18.044312     2.065000
   453    12.628916     2.058000
   454    12.484394     2.051000
   455    13.485662     2.044000
   456    15.578151     2.036000
   457    17.858753     2.029000
   458    13.495857     2.022000
   459    12.085107     2.015000
   460    12.239480     2.008000
   461    14.997010     2.001000
   462    13.289309     1.994000
   463    13.947258     1.987000
   464    17.369562     1.981000
   465    12.536526     1.974000
   466    15.940992     1.967000
   467    13.429459     1.961000
   468    13.554830     1.954000
   469    10.136998     1.948000
   470     9.722836     1.942000
   471    10.739449     1.936000
   472    10.528552     1.930000
   473    13.342429     1.924000
   474    11.068814     1.918000
   475    14.579038     1.912000
   476    13.144638     1.907000
   477    13.341325     1.901000
   478     6.933303     1.896000
   479    14.297363     1.891000
   480    11.053645     1.886000
   481    11.777481     1.881000
   482     8.294195     1.877000
   483     7.112331     1.872000
   484     6.346634     1.868000
   485    12.677938     1.864000
   486    10.461018     1.860000
   487    10.295905     1.856000
   488     8.758378     1.853000
   489     9.556707     1.850000
   490    11.530625     1.847000
   491     8.256588     1.844000
   492     7.799675     1.841000
   493     9.097263     1.838000
   494     6.625655     1.836000
   495     7.036579     1.834000
   496     6.156833     1.832000
   497     8.413453     1.831000
   498    10.498387     1.829000
   499     8.301316     1.828000
   500     6.440472     1.827000
   501     8.299506     1.827000
   502     7.283421     1.826000
   503     7.939208     1.824000
   504     5.820236     1.824000
   505     7.388799     1.550000
   506     6.421024     1.548000
   507     7.423902     1.545000
   508     7.603386     1.544000
   509     7.502484     1.543000
   510     7.928558     1.543000
   511     7.938206     1.543000
   512     7.490128     1.544000
   513     6.528506     1.544000
   514     8.555742     1.545000
   515     6.454751     1.546000
   516     5.419895     1.548000
