# Ell      ell*(ell+1)C_l/(2\pi)     err
    30     3.149194     3.393000
    31     5.728655     3.380000
    32     5.591534     3.368000
    33     4.777182     3.363000
    34    -1.792699     3.360000
    35     3.520471     3.361000
    36     0.314870     3.365000
    37     4.166794     3.371000
    38    -0.252055     3.381000
    39     3.884127     3.393000
    40     5.359604     3.408000
    41     1.006706     3.425000
    42    -2.796768     3.445000
    43    -0.491582     3.467000
    44     2.548637     3.491000
    45     3.175301     3.517000
    46    -3.640221     3.545000
    47     0.860922     3.575000
    48     2.535983     3.606000
    49    -0.124222     3.639000
    50    -7.140198     3.673000
    51     8.789563     3.709000
    52     7.304247     3.747000
    53    -1.906593     3.786000
    54    -1.986462     3.826000
    55    -1.120320     3.868000
    56    -1.779305     3.911000
    57     1.990009     3.955000
    58    -4.329860     4.001000
    59    -0.070637     4.049000
    60    -7.592184     4.097000
    61    -2.056529     4.147000
    62    -3.339617     4.198000
    63     3.933434     4.250000
    64    -2.864252     4.303000
    65    -3.368434     4.358000
    66    -4.856716     4.414000
    67    -4.178077     4.470000
    68    -1.130229     4.528000
    69     1.206616     4.587000
    70    -3.893137     4.647000
    71    -0.743398     4.708000
    72    -4.034082     4.769000
    73   -10.914870     4.832000
    74    -7.401037     4.895000
    75     1.924852     4.959000
    76    -3.257984     5.024000
    77   -14.328630     5.089000
    78    -8.759502     5.155000
    79   -10.909628     5.222000
    80    -8.444026     5.289000
    81    -7.820509     5.357000
    82    -5.452319     5.426000
    83   -20.817614     5.495000
    84    -2.176401     5.564000
    85   -17.518603     5.634000
    86    -2.344961     5.704000
    87   -15.970418     5.775000
    88   -13.181968     5.846000
    89    -5.586846     5.917000
    90   -15.358745     5.988000
    91    -7.838870     6.059000
    92   -30.458434     6.131000
    93    -9.526882     6.203000
    94   -21.205364     6.274000
    95   -20.427328     6.346000
    96   -16.845067     6.417000
    97   -18.779326     6.488000
    98   -15.286882     6.560000
    99   -18.524115     6.631000
   100   -27.111132     6.701000
   101   -14.084656     6.772000
   102   -27.313350     6.842000
   103   -32.405630     6.912000
   104   -29.336612     6.981000
   105   -31.947980     7.050000
   106   -27.697565     7.118000
   107   -34.475503     7.186000
   108   -20.547546     7.253000
   109   -35.576820     7.320000
   110   -29.740382     7.385000
   111   -23.026625     7.451000
   112   -41.384472     7.515000
   113   -49.191392     7.579000
   114   -27.992780     7.642000
   115   -32.663625     7.704000
   116   -26.385455     7.765000
   117   -30.041537     7.825000
   118   -35.995168     7.884000
   119   -32.626429     7.942000
   120   -28.336520     7.999000
   121   -20.611190     8.055000
   122   -33.436044     8.110000
   123   -41.165270     8.164000
   124   -39.885617     8.217000
   125   -34.925289     8.269000
   126   -45.158146     8.319000
   127   -32.370111     8.368000
   128   -35.209677     8.416000
   129   -26.314058     8.463000
   130   -30.676508     8.508000
   131   -42.447559     8.552000
   132   -53.046372     8.594000
   133   -32.333223     8.636000
   134   -42.431866     8.675000
   135   -36.484109     8.714000
   136   -43.324226     8.751000
   137   -39.113724     8.786000
   138   -41.632735     8.820000
   139   -36.105713     8.853000
   140   -64.414290     8.884000
   141   -43.371586     8.914000
   142   -47.588565     8.943000
   143   -48.935390     8.970000
   144   -38.389769     8.995000
   145   -42.664262     9.019000
   146   -35.360065     9.042000
   147   -37.597046     9.063000
   148   -56.154464     9.083000
   149   -38.281868     9.102000
   150   -41.691702     9.119000
   151   -47.185478     9.134000
   152   -43.900714     9.148000
   153   -55.796736     9.161000
   154   -47.548491     9.173000
   155   -40.789502     9.183000
   156   -61.249841     9.192000
   157   -36.252295     9.200000
   158   -35.016353     9.206000
   159   -48.742594     9.211000
   160   -34.984778     9.216000
   161   -41.047648     9.219000
   162   -30.873426     9.221000
   163   -61.960630     9.222000
   164   -25.659954     9.222000
   165   -39.048834     9.221000
   166   -57.216249     9.219000
   167   -35.887863     9.216000
   168   -39.518777     9.212000
   169   -44.577247     9.208000
   170   -37.948579     9.203000
   171   -39.609106     9.197000
   172   -42.317210     9.191000
   173   -44.173298     9.184000
   174   -41.398405     9.177000
   175   -25.009570     9.169000
   176   -38.506063     9.161000
   177   -59.930019     9.153000
   178   -20.091342     9.145000
   179   -41.927212     9.136000
   180   -42.146350     9.128000
   181   -37.878593     9.119000
   182   -31.414656     9.111000
   183   -45.987309     9.103000
   184   -29.050406     9.095000
   185   -26.647936     9.087000
   186   -22.538295     9.080000
   187   -29.974560     9.074000
   188   -20.628185     9.068000
