# Ell      ell*(ell+1)C_l/(2\pi)     err
    30  1125.999178   278.186005
    31  1137.148527   277.345001
    32   921.925224   276.714996
    33  1243.279335   276.266998
    34   662.672027   275.997009
    35  1161.149345   275.876007
    36  1310.278046   275.880005
    37  1063.985280   276.031006
    38   759.359219   276.302002
    39  1441.829205   276.665985
    40  1150.976945   277.140991
    41  1470.379391   277.704010
    42   934.183331   278.335999
    43  1296.555044   279.028992
    44  1575.118510   279.778015
    45   726.783653   280.610992
    46  1800.648418   281.483002
    47  1408.953359   282.368988
    48  1659.928540   283.296997
    49  1089.864172   284.278015
    50  1129.101279   285.276001
    51  1855.686468   286.278992
    52   928.030813   287.299988
    53  1644.230342   288.378998
    54  1398.638538   289.476013
    55  1483.833574   290.576996
    56  1439.194906   291.717010
    57  1758.778384   292.903992
    58  1545.328381   294.130005
    59  1169.562394   295.382996
    60  1728.505341   296.660004
    61  1064.201721   298.003998
    62  1297.676421   299.385986
    63  1589.173605   300.846985
    64   747.168727   302.350006
    65  1551.744940   303.907013
    66  1639.189734   305.507996
    67  1980.214506   307.156006
    68  1873.184786   308.838013
    69  1867.419437   310.558014
    70  2300.756508   312.316986
    71  1907.088029   314.105988
    72  1673.152717   315.928986
    73  2032.130270   317.777008
    74  2017.768418   319.660004
    75  1897.558200   321.562988
    76  1778.597265   323.492004
    77  1883.551289   325.449005
    78  2176.215123   327.432007
    79  1621.045891   329.444000
    80  2146.906576   331.484985
    81  1674.349685   333.548004
    82  1940.788136   335.643005
    83  2061.996940   337.760010
    84  1673.821679   339.910004
    85  1554.380027   342.083008
    86  2078.834236   344.273010
    87  2364.678353   346.484985
    88  2317.190467   348.720001
    89  2591.191224   350.984009
    90  2279.376498   353.260986
    91  2743.982107   355.559998
    92  2644.062054   357.871002
    93  2701.416595   360.212006
    94  2659.440807   362.558014
    95  2161.467215   364.934998
    96  2784.254765   367.315002
    97  2128.106126   369.713013
    98  2615.734295   372.123993
    99  3408.582775   374.558014
   100  2975.095886   377.001007
   101  2292.903374   379.454987
   102  2795.797396   381.920013
   103  2722.243328   384.404999
   104  3308.059382   386.888000
   105  3240.197210   389.391998
   106  2780.333415   391.904999
   107  2300.517607   394.423004
   108  2727.171730   396.946014
   109  2356.219324   399.471008
   110  3768.986612   402.016998
   111  3038.886542   404.556000
   112  2756.138400   407.109985
   113  3132.404070   409.654999
   114  4181.711036   412.210999
   115  2742.770305   414.773987
   116  2946.060547   417.341003
   117  3323.814135   419.907013
   118  3605.661724   422.471008
   119  3025.343230   425.035004
   120  4031.713397   427.610992
   121  2741.544035   430.161987
   122  3008.917513   432.721985
   123  2808.264255   435.273987
   124  3020.445055   437.822998
   125  3483.268080   440.372986
   126  3253.511315   442.880005
   127  4064.101759   445.419006
   128  4171.809115   447.929993
   129  4198.943153   450.428009
   130  3749.950975   452.917999
   131  3837.045422   455.391998
   132  3359.786484   457.868011
   133  4748.858772   460.313995
   134  3931.022861   462.748993
   135  2460.276214   465.190002
   136  3794.161126   467.580994
   137  3295.361542   469.971985
   138  4061.207234   472.334015
   139  3242.474637   474.681000
   140  4617.312261   477.010986
   141  4423.152889   479.299011
   142  4472.947051   481.588989
   143  3849.801570   483.838989
   144  3797.829141   486.075989
   145  4147.762021   488.285004
   146  3001.603201   490.480011
   147  4476.583476   492.634003
   148  4867.912005   494.769012
   149  3485.245773   496.873993
   150  5201.018376   498.959015
   151  4869.427238   501.003998
   152  4444.015526   503.020996
   153  4347.944088   505.013000
   154  4142.624284   506.962006
   155  5120.535010   508.889008
   156  4190.096150   510.779999
   157  3900.048559   512.635986
   158  2730.547217   514.445007
   159  3837.781396   516.234009
   160  4707.231650   517.979980
   161  3227.151006   519.693970
   162  3846.480937   521.356995
   163  4198.684031   522.995972
   164  4285.813343   524.585022
   165  4926.810437   526.140991
   166  4785.820813   527.658020
   167  4421.173311   529.119995
   168  5005.745718   530.557983
   169  4257.377164   531.932983
   170  5076.238201   533.294006
   171  4586.335606   534.580017
   172  4801.750085   535.846985
   173  5572.354299   537.054993
   174  4625.481332   538.216980
   175  4944.807745   539.338989
   176  5853.874582   540.403992
   177  4214.819439   541.434998
   178  5187.831897   542.409973
   179  5265.933591   543.336975
   180  4897.397986   544.218018
   181  5739.762189   545.047974
   182  4934.234265   545.840027
   183  5347.434090   546.578003
   184  5379.613540   547.250000
   185  6119.290582   547.890015
   186  4451.717082   548.473022
   187  4080.819416   549.005981
   188  4834.242335   549.484985
   189  5552.466945   549.905029
